movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,2107467人评价
霸王别姬,2,9.6,1562901人评价
阿甘正传,3,9.5,1592902人评价
这个杀手不太冷,4,9.4,1780167人评价
泰坦尼克号,5,9.4,1545457人评价
美丽人生,6,9.5,994307人评价
千与千寻,7,9.4,1656140人评价
辛德勒的名单,8,9.5,810194人评价
盗梦空间,9,9.3,1519344人评价
忠犬八公的故事,10,9.4,1057332人评价
海上钢琴师,11,9.3,1266318人评价
楚门的世界,12,9.3,1140952人评价
三傻大闹宝莱坞,13,9.2,1409673人评价
星际穿越,14,9.3,1188170人评价
机器人总动员,15,9.3,998038人评价
放牛班的春天,16,9.3,980880人评价
大话西游之大圣娶亲,17,9.2,1120595人评价
熔炉,18,9.3,688366人评价
疯狂动物城,19,9.2,1345311人评价
无间道,20,9.2,911672人评价
龙猫,21,9.2,942135人评价
教父,22,9.3,687920人评价
当幸福来敲门,23,9.1,1135126人评价
怦然心动,24,9.1,1316320人评价
触不可及,25,9.2,734367人评价
控方证人,26,9.6,301268人评价
蝙蝠侠：黑暗骑士,27,9.2,759987人评价
活着,28,9.2,591361人评价
寻梦环游记,29,9.1,1131185人评价
末代皇帝,30,9.3,544598人评价
乱世佳人,31,9.3,506219人评价
何以为家,32,9.1,699708人评价
摔跤吧！爸爸,33,9,1158581人评价
指环王3：王者无敌,34,9.2,558479人评价
飞屋环游记,35,9,987758人评价
少年派的奇幻漂流,36,9.1,1053048人评价
十二怒汉,37,9.4,337743人评价
鬼子来了,38,9.3,454356人评价
素媛,39,9.2,463264人评价
哈尔的移动城堡,40,9.1,723316人评价
天空之城,41,9.1,625638人评价
大话西游之月光宝盒,42,9,895010人评价
哈利・波特与魔法石,43,9,700533人评价
天堂电影院,44,9.2,485385人评价
罗马假日,45,9,722093人评价
闻香识女人,46,9.1,629545人评价
辩护人,47,9.2,452049人评价
我不是药神,48,9,1545687人评价
搏击俱乐部,49,9,645741人评价
教父2,50,9.2,381469人评价
死亡诗社,51,9.1,512861人评价
狮子王,52,9,595865人评价
大闹天宫,53,9.3,287560人评价
指环王2：双塔奇兵,54,9.1,508799人评价
猫鼠游戏,55,9,601924人评价
窃听风暴,56,9.1,421162人评价
指环王1：魔戒再现,57,9,572505人评价
钢琴家,58,9.2,385177人评价
黑客帝国,59,9,576673人评价
美丽心灵,60,9,557138人评价
两杆大烟枪,61,9.1,450425人评价
饮食男女,62,9.1,419112人评价
飞越疯人院,63,9.1,439816人评价
本杰明・巴顿奇事,64,8.9,726278人评价
让子弹飞,65,8.8,1186566人评价
V字仇杀队,66,8.9,775521人评价
看不见的客人,67,8.8,863608人评价
绿皮书,68,8.9,1124235人评价
西西里的美丽传说,69,8.9,717754人评价
拯救大兵瑞恩,70,9,472136人评价
小鞋子,71,9.2,295379人评价
海蒂和爷爷,72,9.2,295762人评价
穿条纹睡衣的男孩,73,9.1,366332人评价
海豚湾,74,9.3,290623人评价
情书,75,8.9,666333人评价
音乐之声,76,9,439701人评价
美国往事,77,9.2,308157人评价
致命魔术,78,8.9,624993人评价
低俗小说,79,8.9,613546人评价
七宗罪,80,8.8,719238人评价
沉默的羔羊,81,8.8,621096人评价
蝴蝶效应,82,8.8,685140人评价
禁闭岛,83,8.8,689994人评价
心灵捕手,84,8.9,516018人评价
春光乍泄,85,8.9,462224人评价
布达佩斯大饭店,86,8.8,650149人评价
被嫌弃的松子的一生,87,8.9,550625人评价
阿凡达,88,8.7,976425人评价
摩登时代,89,9.3,205735人评价
剪刀手爱德华,90,8.7,824603人评价
勇敢的心,91,8.9,453058人评价
喜剧之王,92,8.7,692388人评价
致命ID,93,8.8,581595人评价
天使爱美丽,94,8.7,785658人评价
加勒比海盗,95,8.8,650170人评价
哈利・波特与死亡圣器(下),96,8.8,552829人评价
杀人回忆,97,8.8,483666人评价
断背山,98,8.8,547620人评价
狩猎,99,9.1,262971人评价
请以你的名字呼唤我,100,8.9,471848人评价
幽灵公主,101,8.9,402910人评价
阳光灿烂的日子,102,8.8,464472人评价
小森林 夏秋篇,103,9,309406人评价
7号房的礼物,104,8.9,383296人评价
重庆森林,105,8.7,585891人评价
第六感,106,8.9,400693人评价
入殓师,107,8.8,455644人评价
红辣椒,108,9,288905人评价
消失的爱人,109,8.7,659616人评价
小森林 冬春篇,110,9,273508人评价
爱在黎明破晓前,111,8.8,439166人评价
一一,112,9,260533人评价
唐伯虎点秋香,113,8.6,752438人评价
侧耳倾听,114,8.9,337817人评价
超脱,115,8.9,343168人评价
蝙蝠侠：黑暗骑士崛起,116,8.8,523815人评价
倩女幽魂,117,8.7,531822人评价
玛丽和马克思,118,8.9,338521人评价
告白,119,8.7,546083人评价
无人知晓,120,9.1,202965人评价
甜蜜蜜,121,8.8,383026人评价
萤火之森,122,8.9,367068人评价
大鱼,123,8.8,431573人评价
阳光姐妹淘,124,8.8,466615人评价
超能陆战队,125,8.7,731364人评价
驯龙高手,126,8.7,562236人评价
射雕英雄传之东成西就,127,8.7,480241人评价
借东西的小人阿莉埃蒂,128,8.8,398515人评价
幸福终点站,129,8.8,398862人评价
菊次郎的夏天,130,8.8,380033人评价
爱在日落黄昏时,131,8.8,371065人评价
恐怖直播,132,8.8,465616人评价
完美的世界,133,9.1,190423人评价
功夫,134,8.6,704450人评价
人生果实,135,9.5,103923人评价
神偷奶爸,136,8.6,724574人评价
怪兽电力公司,137,8.7,475357人评价
玩具总动员3,138,8.8,368298人评价
傲慢与偏见,139,8.6,564290人评价
血战钢锯岭,140,8.7,592009人评价
天书奇谭,141,9.2,155809人评价
教父3,142,8.9,254648人评价
风之谷,143,8.9,286292人评价
时空恋旅人,144,8.7,406849人评价
上帝之城,145,8.9,234796人评价
电锯惊魂,146,8.7,369596人评价
釜山行,147,8.5,841726人评价
被解救的姜戈,148,8.7,448640人评价
哪吒闹海,149,9.1,181582人评价
喜宴,150,8.9,246182人评价
七武士,151,9.2,138359人评价
英雄本色,152,8.7,371341人评价
哈利・波特与阿兹卡班的囚徒,153,8.7,414712人评价
谍影重重3,154,8.8,316138人评价
我是山姆,155,8.9,223465人评价
岁月神偷,156,8.7,467561人评价
头号玩家,157,8.7,1040253人评价
纵横四海,158,8.8,298913人评价
疯狂原始人,159,8.7,634991人评价
三块广告牌,160,8.7,619374人评价
一个叫欧维的男人决定去死,161,8.8,283428人评价
心迷宫,162,8.7,361872人评价
达拉斯买家俱乐部,163,8.8,331851人评价
卢旺达饭店,164,8.9,218323人评价
你的名字。,165,8.4,1018814人评价
萤火虫之墓,166,8.7,327292人评价
荒蛮故事,167,8.8,308757人评价
花样年华,168,8.7,420467人评价
记忆碎片,169,8.6,452037人评价
贫民窟的百万富翁,170,8.6,583003人评价
真爱至上,171,8.6,534329人评价
哈利・波特与密室,172,8.6,434019人评价
东邪西毒,173,8.6,445138人评价
爆裂鼓手,174,8.7,410583人评价
黑客帝国3：矩阵革命,175,8.8,308453人评价
忠犬八公物语,176,9.2,136639人评价
黑天鹅,177,8.6,644474人评价
模仿游戏,178,8.7,445610人评价
头脑特工队,179,8.7,429715人评价
新世界,180,8.8,245678人评价
未麻的部屋,181,8.9,194558人评价
你看起来好像很好吃,182,8.9,253753人评价
雨人,183,8.7,315555人评价
海街日记,184,8.8,293088人评价
无敌破坏王,185,8.7,392733人评价
冰川时代,186,8.6,469346人评价
恋恋笔记本,187,8.5,488655人评价
惊魂记,188,9,173233人评价
二十二,189,8.7,219453人评价
海边的曼彻斯特,190,8.6,361849人评价
奇迹男孩,191,8.6,428062人评价
恐怖游轮,192,8.5,583547人评价
房间,193,8.8,295205人评价
虎口脱险,194,8.9,174697人评价
魔女宅急便,195,8.6,344224人评价
雨中曲,196,9,152784人评价
绿里奇迹,197,8.8,207782人评价
小偷家族,198,8.7,604170人评价
疯狂的石头,199,8.5,590336人评价
爱在午夜降临前,200,8.8,240261人评价
人工智能,201,8.6,324348人评价
罗生门,202,8.8,225266人评价
终结者2：审判日,203,8.7,259681人评价
初恋这件小事,204,8.4,779427人评价
魂断蓝桥,205,8.8,205303人评价
海洋,206,9.1,132147人评价
可可西里,207,8.8,215415人评价
2001太空漫游,208,8.8,208209人评价
城市之光,209,9.3,93074人评价
燃情岁月,210,8.8,219255人评价
牯岭街少年杀人事件,211,8.8,189505人评价
穿越时空的少女,212,8.6,302019人评价
色，戒,213,8.5,501168人评价
新龙门客栈,214,8.6,326179人评价
青蛇,215,8.5,379767人评价
无耻混蛋,216,8.6,360430人评价
源代码,217,8.5,618318人评价
完美陌生人,218,8.5,411271人评价
阿飞正传,219,8.5,368972人评价
遗愿清单,220,8.6,277469人评价
血钻,221,8.7,263114人评价
大佛普拉斯,222,8.7,284877人评价
谍影重重2,223,8.7,266431人评价
香水,224,8.5,429121人评价
九品芝麻官,225,8.5,405119人评价
地球上的星星,226,8.9,154412人评价
战争之王,227,8.6,266610人评价
疯狂的麦克斯4：狂暴之路,228,8.6,379205人评价
谍影重重,229,8.6,318368人评价
哈利・波特与火焰杯,230,8.5,369770人评价
步履不停,231,8.8,188476人评价
彗星来的那一夜,232,8.5,373837人评价
猜火车,233,8.5,343614人评价
朗读者,234,8.6,375103人评价
浪潮,235,8.7,208026人评价
小萝莉的猴神大叔,236,8.4,366905人评价
波西米亚狂想曲,237,8.7,423110人评价
再次出发之纽约遇见你,238,8.6,313485人评价
驴得水,239,8.3,681930人评价
东京物语,240,9.2,94290人评价
聚焦,241,8.8,213646人评价
追随,242,8.9,135783人评价
千钧一发,243,8.8,181227人评价
我爱你,244,9,114085人评价
一次别离,245,8.7,200389人评价
黑鹰坠落,246,8.7,215835人评价
网络谜踪,247,8.6,392371人评价
四个春天,248,8.9,122416人评价
黑客帝国2：重装上阵,249,8.6,266545人评价
发条橙,250,8.6,286475人评价
